activation,setting_id,acc,grad_stability,insertion_loss,dynamic_range_eff,nfom
thermal,0,0.125,0.9980473079344546,0.1,0.7608147691457314,0.10520966033855299
thermal,1,0.125,0.9387386300305541,0.12,0.716091965061033,0.09356035542889264
thermal,2,0.125,0.8731493803361919,0.14,0.6657646482134963,0.08235007894311697
oe_hybrid,2,0.10416666666666667,0.9306095475507161,0.12,0.9243607235915317,0.06566164904221401
oe_hybrid,1,0.10416666666666667,0.7913669064748262,0.1,0.7191823562548725,0.05906588489099896
microring,0,0.10416666666666667,0.5800330221466553,0.08,0.2420155984836858,0.04620845791098509
microring,1,0.10416666666666667,0.60293750331276,0.1,0.2947423901825117,0.044529716420139975
oe_hybrid,0,0.08333333333333333,0.6841183025870758,0.09,0.5165216303995126,0.04297200446377327
saturable,1,0.10416666666666667,0.5374903511012915,0.07,0.15868517813662075,0.042867827526528623
saturable,0,0.10416666666666667,0.5124934649949083,0.05,0.10642250901203767,0.04281973751024444
saturable,2,0.10416666666666667,0.5603689319340862,0.09,0.20801899146928932,0.0427078604203472
microring,2,0.10416666666666667,0.6219161217779327,0.12,0.33414401215800626,0.042696180942732365
