severity,fraction,strategy,acc,recovery,cost
0.2,0.1,electronic,0.618,-4000000000.000004,0.2
0.2,0.1,local,0.614,-8000000000.000008,0.4
0.2,0.1,global,0.942,319999999999.99994,1.0
0.2,0.25,electronic,0.618,-4000000000.000004,0.2
0.2,0.25,local,0.774,152000000000.00003,0.55
0.2,0.25,global,0.942,319999999999.99994,1.0
0.2,0.5,electronic,0.618,-4000000000.000004,0.2
0.2,0.5,local,0.888,266000000000.00003,0.8
0.2,0.5,global,0.942,319999999999.99994,1.0
0.4,0.1,electronic,0.598,0.0,0.2
0.4,0.1,local,0.622,3.0,0.4
0.4,0.1,global,0.908,38.74999999999997,1.0
0.4,0.25,electronic,0.598,0.0,0.2
0.4,0.25,local,0.73,16.499999999999986,0.55
0.4,0.25,global,0.908,38.74999999999997,1.0
0.4,0.5,electronic,0.598,0.0,0.2
0.4,0.5,local,0.848,31.24999999999997,0.8
0.4,0.5,global,0.908,38.74999999999997,1.0
0.6,0.1,electronic,0.59,0.0,0.2
0.6,0.1,local,0.586,-0.25,0.4
0.6,0.1,global,0.892,18.874999999999986,1.0
0.6,0.25,electronic,0.59,0.0,0.2
0.6,0.25,local,0.726,8.499999999999993,0.55
0.6,0.25,global,0.892,18.874999999999986,1.0
0.6,0.5,electronic,0.59,0.0,0.2
0.6,0.5,local,0.824,14.624999999999986,0.8
0.6,0.5,global,0.892,18.874999999999986,1.0
