fourier_depth,local_strength,relative_l2
1,0.0,0.11055770719383154
1,0.25,0.10310004302089067
1,0.5,0.09910011727347648
1,0.75,0.0938928429525953
1,1.0,0.09094588485665604
2,0.0,0.10070679794969163
2,0.25,0.09656871827081936
2,0.5,0.08834775533051765
2,0.75,0.08468768727874107
2,1.0,0.07811918887775227
3,0.0,0.08887455189921441
3,0.25,0.08502142115241344
3,0.5,0.07810614387873546
3,0.75,0.07379535060274658
3,1.0,0.07059953775111809
4,0.0,0.08017976592241285
4,0.25,0.07388176248816276
4,0.5,0.07035706273550363
4,0.75,0.0662377218267113
4,1.0,0.07302599503871222
