pde,grid,k,model,relative_l2
poisson,24,6.0,fourier,0.3943367474327322
poisson,24,6.0,local,0.3092562003330481
poisson,24,6.0,hybrid,0.3829401761082235
poisson,24,10.0,fourier,0.3943367474327322
poisson,24,10.0,local,0.3092562003330481
poisson,24,10.0,hybrid,0.3829401761082235
poisson,32,6.0,fourier,0.4050349426363492
poisson,32,6.0,local,0.5250511780597495
poisson,32,6.0,hybrid,0.5299020345268345
poisson,32,10.0,fourier,0.4050349426363492
poisson,32,10.0,local,0.5250511780597495
poisson,32,10.0,hybrid,0.5299020345268345
helmholtz,24,6.0,fourier,1.1532965569238405
helmholtz,24,6.0,local,0.1496708176716976
helmholtz,24,6.0,hybrid,0.3402445858605229
helmholtz,24,10.0,fourier,2.4874276986517914
helmholtz,24,10.0,local,1.0441038299414913
helmholtz,24,10.0,hybrid,1.0424407329107601
helmholtz,32,6.0,fourier,1.1919529705018626
helmholtz,32,6.0,local,0.2866037499171262
helmholtz,32,6.0,hybrid,0.40495316552249133
helmholtz,32,10.0,fourier,2.521756153855063
helmholtz,32,10.0,local,0.42382069351457385
helmholtz,32,10.0,hybrid,0.7172148664240735
